DEU,Europe,Germany,12/27/2020,1,2,0,83783945
DEU,Europe,Germany,12/28/2020,1,2,1,83783945
DEU,Europe,Germany,12/29/2020,1,2,2,83783945
DEU,Europe,Germany,12/30/2020,1,2,3,83783945
DEU,Europe,Germany,12/31/2020,1,2,4,83783945
DEU,Europe,Germany,1/1/2021,1,2,5,83783945
DEU,Europe,Germany,1/2/2021,1,2,6,83783945
DEU,Europe,Germany,1/3/2021,1,2,7,83783945
DEU,Europe,Germany,1/4/2021,1,2,8,83783945
DEU,Europe,Germany,1/5/2021,1,2,9,83783945
DEU,Europe,Germany,1/6/2021,1,2,10,83783945
DEU,Europe,Germany,1/7/2021,1,2,11,83783945
